@relation jenk-commit-filt

@attribute file# numeric
@attribute simple# numeric
@attribute complex# numeric
@attribute author_kutzi@gmx.de {y,n}
@attribute complex_test/src/main/java/org/jvnet/hudson/test/hudsontestcase.java {n,y}
@attribute complex_core/src/main/java/hudson/model/run.java {n,y}
@attribute complex_remoting/src/main/java/hudson/remoting/channel.java {n,y}
@attribute complex_core/src/main/java/hudson/pluginmanager.java {n,y}
@attribute complex_core/src/main/java/jenkins/model/jenkins.java {n,y}
@attribute complex_core/src/main/java/hudson/model/descriptor.java {n,y}
@attribute complex_core/src/main/java/hudson/cli/buildcommand.java {n,y}
@attribute complex_core/src/main/resources/lib/hudson/newfromlist/form.jelly {n,y}
@attribute complex_core/src/main/java/hudson/model/job.java {n,y}
@attribute complex_core/src/main/java/hudson/model/pagedecorator.java {n,y}
@attribute simple_changelog.html {y,n}
@attribute simple_plugins/pom.xml {y,n}
@attribute simple_debian/changelog {n,y}
@attribute simple_maven-interceptor/src/main/resources/meta-inf/plexus/components.xml {n,y}
@attribute simple_war/src/main/webapp/help/security/private-realm_pt_br.html {n,y}
@attribute word_http {n,y}
@attribute word_make {y,n}
@attribute word_71c3de6d-444a-0410-be80-ed276b4c234a {n,y}
@attribute word_hudson.dev.java.net {n,y}
@attribute word_name {n,y}
@attribute word_when {n,y}
@attribute word_github.com {n,y}
@attribute word_need {n,y}
@attribute word_fail {n,y}
@attribute label {HARD,EASY}

@data
9,9,0,y,n,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n,y,n,n,n,n,n,n,n,EASY
16,10,6,n,n,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,y,y,HARD
1,1,0,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,y,n,EASY
1,0,1,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,HARD
1,1,0,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,EASY
9,9,0,n,n,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,y,n,n,EASY
1,1,0,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,EASY
12,9,3,n,n,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n,EASY
1,0,1,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,EASY
9,9,0,n,n,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n,EASY
1,1,0,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,y,n,EASY
1,1,0,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,EASY
