@relation InstanceResultListener

@attribute Key_Dataset {jenk-commit,vold-commit}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.MultilayerPerceptron}
@attribute Key_Scheme_options {'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.1 -M 0.5 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.2 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.2 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.2 -M 0.5 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.5 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.5 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.5 -M 0.5 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H t','-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H t','-L 0.1 -M 0.5 -N 500 -V 0 -S 0 -E 20 -H t','-L 0.2 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H t','-L 0.2 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H t','-L 0.2 -M 0.5 -N 500 -V 0 -S 0 -E 20 -H t','-L 0.5 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H t','-L 0.5 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H t','-L 0.5 -M 0.5 -N 500 -V 0 -S 0 -E 20 -H t','-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H o','-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H o','-L 0.1 -M 0.5 -N 500 -V 0 -S 0 -E 20 -H o','-L 0.2 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H o','-L 0.2 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H o','-L 0.2 -M 0.5 -N 500 -V 0 -S 0 -E 20 -H o','-L 0.5 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H o','-L 0.5 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H o','-L 0.5 -M 0.5 -N 500 -V 0 -S 0 -E 20 -H o'}
@attribute Key_Scheme_version_ID {-5990607817048210779}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string

@data

jenk-commit,1,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.2124,251,28,24,4,0,85.714286,14.285714,0,0.588235,0.147525,0.372185,35.594944,82.343254,24.188289,49.262816,-25.074527,0.863867,1.759386,-0.895519,14.990863,0.535388,1700.080842,0.5,4,0,0,1,20,0.5,4,1,0.5,0.666667,0.73125,0.857143,0.357143,0.642857,0.142857,0.880952,0.857143,0.839827,0.73125,18.56,0.002,18.064911,0.001928,481675,309310,60219,?
jenk-commit,1,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.2125,251,28,23,5,0,82.142857,17.857143,0,0.545455,0.20081,0.401529,48.45153,88.835423,24.188289,42.490677,-18.302388,0.863867,1.517524,-0.653657,12.110517,0.432518,1373.427119,0.625,5,0.1,2,0.9,18,0.375,3,0.714286,0.625,0.666667,0.85625,0.821429,0.296429,0.703571,0.178571,0.816327,0.821429,0.817654,0.85625,18.458,0.002,18.090703,0.001841,481675,309310,60219,?
jenk-commit,1,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.2125,251,28,21,7,0,75,25,0,0.246154,0.260648,0.501335,62.889416,110.916607,24.188289,101.733898,-77.545609,0.863867,3.633353,-2.769486,7.97418,0.284792,904.334305,0.25,2,0.05,1,0.95,19,0.75,6,0.666667,0.25,0.363636,0.68125,0.75,0.55,0.45,0.25,0.733333,0.75,0.707071,0.68125,18.472,0.002,18.02468,0.00186,481675,309310,60219,?
jenk-commit,1,4,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.2125,251,28,23,5,0,82.142857,17.857143,0,0.507042,0.195917,0.426991,47.270904,94.468576,24.188289,64.234309,-40.04602,0.863867,2.294082,-1.430215,12.122672,0.432953,1374.8056,0.5,4,0.05,1,0.95,19,0.5,4,0.8,0.5,0.615385,0.8125,0.821429,0.371429,0.628571,0.178571,0.818634,0.821429,0.807053,0.8125,18.326,0.001,17.967096,0.00177,481675,309310,60219,?
jenk-commit,1,5,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.2126,251,28,21,7,0,75,25,0,0.363636,0.214487,0.424713,51.751588,93.964671,24.188289,38.086541,-13.898252,0.863867,1.360234,-0.496366,10.255206,0.366257,1163.020427,0.5,4,0.15,3,0.85,17,0.5,4,0.571429,0.5,0.533333,0.85,0.75,0.4,0.6,0.25,0.741497,0.75,0.744715,0.85,18.442,0.002,17.997314,0.001872,481675,309310,60219,?
jenk-commit,1,6,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.2126,251,28,23,5,0,82.142857,17.857143,0,0.545455,0.172964,0.388208,41.732832,85.888236,24.188289,27.595709,-3.40742,0.863867,0.985561,-0.121694,13.184833,0.470887,1495.262944,0.625,5,0.1,2,0.9,18,0.375,3,0.714286,0.625,0.666667,0.9375,0.821429,0.296429,0.703571,0.178571,0.816327,0.821429,0.817654,0.9375,18.33,0.001,17.96958,0.001844,481675,309310,60219,?
jenk-commit,1,7,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.2126,251,28,22,6,0,78.571429,21.428571,0,0.535912,0.225391,0.4563,52.747707,97.564028,25.425517,60.320755,-34.895238,0.908054,2.154313,-1.246259,11.301151,0.403613,1288.763221,0.777778,7,0.210526,4,0.789474,15,0.222222,2,0.636364,0.777778,0.7,0.830409,0.785714,0.218463,0.781537,0.214286,0.803285,0.785714,0.790476,0.830409,18.552,0.002,18.098489,0.00193,481675,309310,60219,?
jenk-commit,1,8,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.2126,251,28,20,8,0,71.428571,28.571429,0,0.413613,0.280737,0.49641,65.700103,106.140106,25.425517,60.340338,-34.914822,0.908054,2.155012,-1.246958,7.592546,0.271162,865.840518,0.777778,7,0.315789,6,0.684211,13,0.222222,2,0.538462,0.777778,0.636364,0.74269,0.714286,0.252297,0.747703,0.285714,0.761172,0.714286,0.723453,0.74269,18.473,0.002,18.025177,0.001908,481675,309310,60219,?
jenk-commit,1,9,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.2127,251,28,19,9,0,67.857143,32.142857,0,0.136986,0.324313,0.563684,75.898089,120.52433,25.425517,102.826583,-77.401067,0.908054,3.672378,-2.764324,4.951038,0.176823,564.607643,0.222222,2,0.105263,2,0.894737,17,0.777778,7,0.5,0.222222,0.307692,0.649123,0.678571,0.561612,0.438388,0.321429,0.641369,0.678571,0.635446,0.649123,18.753,0.003,18.38088,0.002983,481675,309310,60219,?
